127.0.0.1 - - [21/May/2019:00:31:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 406 1211
127.0.0.1 - - [21/May/2019:00:31:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:31:46 -0300] "POST /03-JSF/faces/iot.xhtml HTTP/1.1" 200 1124
127.0.0.1 - - [21/May/2019:00:31:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 406 1211
127.0.0.1 - - [21/May/2019:00:31:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:31:47 -0300] "POST /03-JSF/faces/iot.xhtml HTTP/1.1" 200 1124
127.0.0.1 - - [21/May/2019:00:31:48 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:48 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:48 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:48 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:48 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:48 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:48 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:48 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:48 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:48 -0300] "GET /02-oit/rest/iot HTTP/1.1" 406 1211
127.0.0.1 - - [21/May/2019:00:31:48 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:48 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:48 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:31:48 -0300] "POST /03-JSF/faces/iot.xhtml HTTP/1.1" 200 1123
127.0.0.1 - - [21/May/2019:00:31:49 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:49 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:49 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:49 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:49 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:49 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:49 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:49 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:49 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:49 -0300] "GET /02-oit/rest/iot HTTP/1.1" 406 1211
127.0.0.1 - - [21/May/2019:00:31:49 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:49 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:49 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:31:49 -0300] "POST /03-JSF/faces/iot.xhtml HTTP/1.1" 200 1124
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 406 1211
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:32:04 -0300] "POST /03-JSF/faces/iot.xhtml HTTP/1.1" 200 1124
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 406 1211
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:04 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:32:04 -0300] "POST /03-JSF/faces/iot.xhtml HTTP/1.1" 200 1124
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 406 1211
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 406 1211
0:0:0:0:0:0:0:1 - - [21/May/2019:00:32:46 -0300] "POST /03-JSF/faces/iot.xhtml HTTP/1.1" 200 1139
127.0.0.1 - - [21/May/2019:00:32:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:32:47 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
